"SUMLEV","REGION","DIVISION","STATE","NAME","SEX","AGE","ESTBASE2010_CIV","POPEST2010_CIV","POPEST2011_CIV","POPEST2012_CIV","POPEST2013_CIV","POPEST2014_CIV"
40,3,5,10,Delaware,2,80 - 89,20648,20648,21114,21567,21983,22303
40,3,5,10,Delaware,2,999,462359,463390,467680,472355,476949,482302
40,3,5,11,District of Columbia,0,0 - 9,58762,59517,63000,67002,71017,73982
40,3,5,11,District of Columbia,0,10 - 19,64907,64674,64036,63698,63101,63291
40,3,5,11,District of Columbia,0,20 - 29,132543,132606,134344,135240,135714,135101
40,3,5,11,District of Columbia,0,30 - 39,97047,98468,104009,110033,116370,121661
40,3,5,11,District of Columbia,0,40 - 49,75670,76044,77654,78671,79211,78872
40,3,5,11,District of Columbia,0,50 - 59,71345,71662,72908,73899,75026,75490
40,3,5,11,District of Columbia,0,60 - 69,51189,51645,53645,55050,56149,57591
40,3,5,11,District of Columbia,0,70 - 79,27301,27372,27704,28255,28952,29332
40,3,5,11,District of Columbia,0,80 - 89,20021,20021,20121,20141,20254,20190
40,3,5,11,District of Columbia,0,999,598785,602093,617421,631989,645794,655510
40,3,5,11,District of Columbia,1,0 - 9,29732,30096,31950,33931,36092,37512
40,3,5,11,District of Columbia,1,10 - 19,31544,31475,31162,30858,30417,30557
40,3,5,11,District of Columbia,1,20 - 29,59990,59963,60769,61352,61939,61818
40,3,5,11,District of Columbia,1,30 - 39,47275,47885,50499,53257,56249,58656
40,3,5,11,District of Columbia,1,40 - 49,38168,38348,39215,39590,39642,39414
40,3,5,11,District of Columbia,1,50 - 59,34034,34245,35095,35670,36450,36919
40,3,5,11,District of Columbia,1,60 - 69,22999,23207,24073,24642,25222,25813
40,3,5,11,District of Columbia,1,70 - 79,11453,11511,11625,11943,12220,12370
40,3,5,11,District of Columbia,1,80 - 89,6634,6634,6686,6768,6824,6822
40,3,5,11,District of Columbia,1,999,281829,283397,291074,298011,305055,309881
40,3,5,11,District of Columbia,2,0 - 9,29030,29421,31050,33071,34925,36470
40,3,5,11,District of Columbia,2,10 - 19,33363,33199,32874,32840,32684,32734
40,3,5,11,District of Columbia,2,20 - 29,72553,72643,73575,73888,73775,73283
40,3,5,11,District of Columbia,2,30 - 39,49772,50583,53510,56776,60121,63005
40,3,5,11,District of Columbia,2,40 - 49,37502,37696,38439,39081,39569,39458
40,3,5,11,District of Columbia,2,50 - 59,37311,37417,37813,38229,38576,38571
40,3,5,11,District of Columbia,2,60 - 69,28190,28438,29572,30408,30927,31778
40,3,5,11,District of Columbia,2,70 - 79,15848,15861,16079,16312,16732,16962
40,3,5,11,District of Columbia,2,80 - 89,13387,13387,13435,13373,13430,13368
40,3,5,11,District of Columbia,2,999,316956,318696,326347,333978,340739,345629
40,3,5,12,Florida,0,0 - 9,2153765,2153401,2158818,2175830,2191077,2210461
40,3,5,12,Florida,0,10 - 19,2354548,2348076,2330692,2312196,2307765,2305504
40,3,5,12,Florida,0,20 - 29,2370829,2386643,2459599,2508606,2540855,2578434
40,3,5,12,Florida,0,30 - 39,2269668,2269318,2276603,2299299,2331874,2377737
40,3,5,12,Florida,0,40 - 49,2645858,2642830,2640174,2619742,2588404,2557576
40,3,5,12,Florida,0,50 - 59,2542267,2556478,2622546,2674990,2723707,2776808
40,3,5,12,Florida,0,60 - 69,2094606,2108709,2177977,2247171,2301329,2383795
40,3,5,12,Florida,0,70 - 79,1384242,1390749,1417283,1468039,1541406,1612786
40,3,5,12,Florida,0,80 - 89,916224,916224,958037,981656,1002782,1020702
40,3,5,12,Florida,0,999,18732007,18779789,19041729,19287529,19529199,19823803
40,3,5,12,Florida,1,0 - 9,1099040,1099078,1102449,1111274,1119507,1129540
40,3,5,12,Florida,1,10 - 19,1206247,1203345,1195537,1185404,1181955,1179894
40,3,5,12,Florida,1,20 - 29,1191196,1199839,1239488,1265047,1283797,1304802
40,3,5,12,Florida,1,30 - 39,1123971,1123859,1127424,1138267,1154484,1178094
40,3,5,12,Florida,1,40 - 49,1307585,1306032,1304420,1292767,1276186,1260425
40,3,5,12,Florida,1,50 - 59,1218761,1226120,1260126,1286624,1311191,1338183
40,3,5,12,Florida,1,60 - 69,982179,988487,1020385,1051280,1075733,1112642
40,3,5,12,Florida,1,70 - 79,638012,641039,652581,675823,710756,743603
40,3,5,12,Florida,1,80 - 89,364251,364251,382741,396453,407738,417898
40,3,5,12,Florida,1,999,9131242,9155704,9285151,9402939,9521347,9665081
40,3,5,12,Florida,2,0 - 9,1054725,1054323,1056369,1064556,1071570,1080921
40,3,5,12,Florida,2,10 - 19,1148301,1144731,1135155,1126792,1125810,1125610
40,3,5,12,Florida,2,20 - 29,1179633,1186804,1220111,1243559,1257058,1273632
40,3,5,12,Florida,2,30 - 39,1145697,1145459,1149179,1161032,1177390,1199643
40,3,5,12,Florida,2,40 - 49,1338273,1336798,1335754,1326975,1312218,1297151
40,3,5,12,Florida,2,50 - 59,1323506,1330358,1362420,1388366,1412516,1438625
40,3,5,12,Florida,2,60 - 69,1112427,1120222,1157592,1195891,1225596,1271153
40,3,5,12,Florida,2,70 - 79,746230,749710,764702,792216,830650,869183
40,3,5,12,Florida,2,80 - 89,551973,551973,575296,585203,595044,602804
40,3,5,12,Florida,2,999,9600765,9624085,9756578,9884590,10007852,10158722
40,3,5,13,Georgia,0,0 - 9,1381969,1380421,1375988,1373292,1369279,1367218
40,3,5,13,Georgia,0,10 - 19,1395257,1396976,1397899,1398841,1396137,1400478
40,3,5,13,Georgia,0,20 - 29,1323136,1327379,1345416,1371284,1381217,1402687
40,3,5,13,Georgia,0,30 - 39,1344216,1342710,1330378,1326542,1326843,1331402
40,3,5,13,Georgia,0,40 - 49,1414851,1417737,1420802,1419500,1408892,1393737
40,3,5,13,Georgia,0,50 - 59,1241134,1248831,1274946,1301473,1323329,1343255
40,3,5,13,Georgia,0,60 - 69,852024,860346,896775,931862,959995,994250
